7zip 26.01-1
aarch64-linux-gnu-binutils 2.46-2
aarch64-linux-gnu-gcc 15.2.0-1
aarch64-linux-gnu-glibc 2.43-1
acpi 1.8-2
alsa-utils 1.2.15.2-2
arandr 0.1.11-6
base 3-3
base-devel 1-2
bc 1.08.2-1
blueman 2.4.6-2
bluez 5.86-5
bluez-utils 5.86-5
brave-bin 1:1.89.143-1
brightnessctl 0.5.1-3
claude-code 2.1.119-1
cpio 2.15-3
crunch 3.6-2
debootstrap 1.0.143-1
dex 0.10.1-1
dhcpcd 10.3.1-1
docker 1:29.4.2-1
docker-compose 5.1.3-1
dracula-gtk-theme v4.0.0-1
dunst 1.13.2-1
efibootmgr 18-3
fastfetch 2.62.1-1
feh 3.12.1-1
firefox 150.0.1-1
fish 4.7.0-1
flameshot 13.3.0-2
freerdp 2:3.25.0-1
gdb 17.1-5
git 2.54.0-1
gnome-keyring 1:50.0-1
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.4-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gvfs 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
hashcat 1:7.1.2-2
htop 3.5.1-1
hugo 0.161.1-1
hydra 9.6-2
i3-wm 4.25.1-1
i3lock 2.16-1
i3status 2.15-1
imagemagick 7.1.2.21-1
inetutils 2.7-2
iw 6.17-1
iwd 3.12-1
kitty 0.46.2-1
linux 7.0.3.arch1-2
linux-firmware 20260410-1
lxappearance 0.6.4-3
ly 1.3.2-1
maim 5.8.1-3
man-pages 6.18-1
mesa-utils 9.0.0-7
mousepad 0.7.0-1
nano 9.0-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nitrogen 1.6.1-6
nmap 7.99-2
noto-fonts-emoji 1:2.051-1
nvidia-open 595.71.05-3
nvidia-prime 1.0-5
nvidia-utils 595.71.05-2
obs-studio 32.1.2-2
obsidian 1.12.7-2
openbsd-netcat 1.234_2-1
opencl-nvidia 595.71.05-2
os-prober 1.84-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
picom 13-2
pipes.sh 1.3.0-1
pipewire 1:1.6.4-1
pipewire-alsa 1:1.6.4-1
pipewire-audio 1:1.6.4-1
pipewire-jack 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
playerctl 2.4.1-5
polybar 3.7.2-2
poppler 26.04.0-1
power-profiles-daemon 0.30-1
proton-vpn-gtk-app 4.16.1-1
python-pip 26.1.1-1
python-pwntools 4.15.0-2
qemu-img 11.0.0-1
qemu-system-aarch64 11.0.0-1
qemu-system-arm 11.0.0-1
qemu-user 11.0.0-1
qemu-user-static-binfmt 11.0.0-1
reflector 2023-5
rofi 2.0.0-1
samba 2:4.24.1-1
scrot 2.0.0-1
seahorse 1:47.0.1-6
starship 1.25.1-1
strace 6.19-1
sudo 1.9.17.p2-2
thunar 4.20.8-3
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tree 2.3.2-1
ttf-firacode-nerd 3.4.0-2
ttf-hack-nerd 3.4.0-2
upower 1.91.2-1
virtualbox 7.2.8-2
wget 1.25.0-3
wireless-regdb 2026.03.18-1
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
xf86-video-vesa 2.6.0-3
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-1
xorg-server 21.1.22-1
xorg-server-common 21.1.22-1
xorg-server-devel 21.1.22-1
xorg-server-xephyr 21.1.22-1
xorg-server-xnest 21.1.22-1
xorg-server-xvfb 21.1.22-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.5-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-2
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-2
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.11-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xss-lock 0.4.0-1
xterm 409-1
yay 12.5.7-1
zoom 7.0.0-1
